codigo;nome;dengue_2018;dengue_2019
330010;Angra dos Reis;132;831
330015;Aperibé;20;11
330020;Araruama;58;134
330022;Areal;9;
330023;Armação dos Búzios;1;135
330025;Arraial do Cabo;39;47
330030;Barra do Piraí;33;201
330040;Barra Mansa;2;238
330045;Belford Roxo;68;331
330050;Bom Jardim;1;43
330060;Bom Jesus do Itabapoana;36;337
330070;Cabo Frio;103;269
330080;Cachoeiras de Macacu;26;2
330090;Cambuci;4;6
330100;Campos dos Goytacazes;150;77
330110;Cantagalo;3;7
330093;Carapebus;;20
330115;Cardoso Moreira;11;17
330120;Carmo;4;6
330130;Casimiro de Abreu;13;70
330095;Comendador Levy Gasparian;;1
330140;Conceição de Macabu;8;54
330150;Cordeiro;11;3
330160;Duas Barras;1;3
330170;Duque de Caxias;316;714
330180;Engenheiro Paulo de Frontin;6;4
330185;Guapimirim;9;10
330187;Iguaba Grande;17;30
330190;Itaboraí;2721;739
330200;Itaguaí;8;32
330205;Italva;26;20
330210;Itaocara;56;7
330220;Itaperuna;331;229
330225;Itatiaia;2;47
330227;Japeri;;112
330230;Laje do Muriaé;;5
330240;Macaé;56;207
330245;Macuco;;
330250;Magé;53;56
330260;Mangaratiba;4;74
330270;Maricá;475;77
330280;Mendes;;9
330285;Mesquita;4;15
330290;Miguel Pereira;2;30
330300;Miracema;7;734
330310;Natividade;16;98
330320;Nilópolis;6;11
330330;Niterói;1905;367
330340;Nova Friburgo;20;16
330350;Nova Iguaçu;15;76
330360;Paracambi;13;10
330370;Paraíba do Sul;;36
330380;Paraty;12;46
330385;Paty do Alferes;;76
330390;Petrópolis;20;185
330395;Pinheiral;6;93
330400;Piraí;195;324
330410;Porciúncula;4;129
330411;Porto Real;3;21
330412;Quatis;3;58
330414;Queimados;7;23
330415;Quissamã;5;11
330420;Resende;17;421
330430;Rio Bonito;24;20
330440;Rio Claro;8;3
330450;Rio das Flores;2;19
330452;Rio das Ostras;135;233
330455;Rio de Janeiro;5640;17888
330460;Santa Maria Madalena;;
330470;Santo Antônio de Pádua;135;27
330480;São Fidélis;47;3
330475;São Francisco de Itabapoana;56;851
330490;São Gonçalo;1205;751
330500;São João da Barra;37;32
330510;São João de Meriti;2;145
330513;São José de Ubá;5;35
330515;São José do Vale do Rio Preto;4;2
330520;São Pedro da Aldeia;77;231
330530;São Sebastião do Alto;1;1
330540;Sapucaia;4;1
330550;Saquarema;122;26
330555;Seropédica;94;115
330560;Silva Jardim;1;10
330570;Sumidouro;;
330575;Tanguá;82;17
330580;Teresópolis;6;22
330590;Trajano de Moraes;;
330600;Três Rios;23;82
330610;Valença;9;29
330615;Varre-Sai;;29
330620;Vassouras;45;277
330630;Volta Redonda;118;2784
